记录时间：2014-10-23 21:33:21,991     Timer1:11577988
记录时间：2014-10-23 21:33:36,334     Timer1:11592715
 
记录时间：2014-10-23 21:33:36,412     Timer1:11592793
 
记录时间：2014-10-23 21:33:36,521     Timer1:11592902
 
记录时间：2014-10-23 21:33:36,631     Timer1:11593011
 
记录时间：2014-10-23 21:33:36,740     Timer1:11593120
 
记录时间：2014-10-23 21:33:36,849     Timer1:11593229
 
记录时间：2014-10-23 21:33:36,958     Timer1:11593339
 
记录时间：2014-10-23 21:33:37,067     Timer1:11593448
 
记录时间：2014-10-23 21:33:37,177     Timer1:11593557
 
记录时间：2014-10-23 21:33:37,286     Timer1:11593666
 
记录时间：2014-10-23 21:33:37,395     Timer1:11593775
 
记录时间：2014-10-23 21:33:37,504     Timer1:11593885
 
记录时间：2014-10-23 21:33:37,613     Timer1:11593994
 
记录时间：2014-10-23 21:33:37,723     Timer1:11594103
 
记录时间：2014-10-23 21:33:37,832     Timer1:11594212
 
记录时间：2014-10-23 21:33:37,941     Timer1:11594321
 
记录时间：2014-10-23 21:33:38,050     Timer1:11594431
 
记录时间：2014-10-23 21:33:38,159     Timer1:11594540
 
记录时间：2014-10-23 21:33:38,269     Timer1:11594649
 
记录时间：2014-10-23 21:33:38,378     Timer1:11594758
 
记录时间：2014-10-23 21:33:38,487     Timer1:11594867
 
记录时间：2014-10-23 21:33:38,596     Timer1:11594977
 
记录时间：2014-10-23 21:33:38,705     Timer1:11595086
 
记录时间：2014-10-23 21:33:38,815     Timer1:11595195
 
记录时间：2014-10-23 21:33:38,924     Timer1:11595304
 
记录时间：2014-10-23 21:33:39,033     Timer1:11595413
 
记录时间：2014-10-23 21:33:39,142     Timer1:11595523
 
记录时间：2014-10-23 21:33:39,251     Timer1:11595632
 
记录时间：2014-10-23 21:33:39,361     Timer1:11595741
 
记录时间：2014-10-23 21:33:39,470     Timer1:11595850
 
记录时间：2014-10-23 21:33:39,579     Timer1:11595959
 
记录时间：2014-10-23 21:33:39,688     Timer1:11596069
 
记录时间：2014-10-23 21:33:39,797     Timer1:11596178
 
记录时间：2014-10-23 21:33:39,907     Timer1:11596287
 
记录时间：2014-10-23 21:33:40,016     Timer1:11596396
 
记录时间：2014-10-23 21:33:40,125     Timer1:11596505
 
记录时间：2014-10-23 21:33:40,234     Timer1:11596615
 
记录时间：2014-10-23 21:33:40,343     Timer1:11596724
 
记录时间：2014-10-23 21:33:40,453     Timer1:11596833
 
记录时间：2014-10-23 21:33:40,562     Timer1:11596942
 
记录时间：2014-10-23 21:33:40,671     Timer1:11597051
 
记录时间：2014-10-23 21:33:40,780     Timer1:11597161
 
记录时间：2014-10-23 21:33:40,889     Timer1:11597270
 
记录时间：2014-10-23 21:33:40,999     Timer1:11597379
 
记录时间：2014-10-23 21:33:41,108     Timer1:11597488
 
记录时间：2014-10-23 21:33:41,217     Timer1:11597597
 
记录时间：2014-10-23 21:33:41,326     Timer1:11597707
 
记录时间：2014-10-23 21:33:41,435     Timer1:11597816
 
记录时间：2014-10-23 21:33:41,545     Timer1:11597925
 
记录时间：2014-10-23 21:33:41,654     Timer1:11598034
 
记录时间：2014-10-23 21:33:41,763     Timer1:11598143
 
记录时间：2014-10-23 21:33:41,872     Timer1:11598253
 
记录时间：2014-10-23 21:33:41,981     Timer1:11598362
 
记录时间：2014-10-23 21:33:42,088     Timer1:11598471
 
记录时间：2014-10-23 21:33:42,202     Timer1:11598580
 
记录时间：2014-10-23 21:33:42,311     Timer1:11598689
 
记录时间：2014-10-23 21:33:42,420     Timer1:11598799
 
记录时间：2014-10-23 21:33:42,529     Timer1:11598908
 
记录时间：2014-10-23 21:33:42,639     Timer1:11599017
 
记录时间：2014-10-23 21:33:42,748     Timer1:11599126
 
记录时间：2014-10-23 21:33:42,857     Timer1:11599235
 
记录时间：2014-10-23 21:33:42,966     Timer1:11599345
 
记录时间：2014-10-23 21:33:43,075     Timer1:11599454
 
记录时间：2014-10-23 21:33:43,185     Timer1:11599563
 
记录时间：2014-10-23 21:33:43,294     Timer1:11599672
 
记录时间：2014-10-23 21:33:43,403     Timer1:11599781
 
记录时间：2014-10-23 21:33:43,503     Timer1:11599891
 
记录时间：2014-10-23 21:33:43,620     Timer1:11600000
 
记录时间：2014-10-23 21:33:43,729     Timer1:11600109
 
记录时间：2014-10-23 21:33:43,838     Timer1:11600218
 
记录时间：2014-10-23 21:33:43,947     Timer1:11600327
 
记录时间：2014-10-23 21:33:44,057     Timer1:11600437
 
记录时间：2014-10-23 21:33:44,166     Timer1:11600546
 
记录时间：2014-10-23 21:33:44,275     Timer1:11600655
 
记录时间：2014-10-23 21:33:44,384     Timer1:11600764
 
记录时间：2014-10-23 21:33:44,493     Timer1:11600873
 
记录时间：2014-10-23 21:33:44,603     Timer1:11600983
 
记录时间：2014-10-23 21:33:44,712     Timer1:11601092
 
记录时间：2014-10-23 21:33:44,821     Timer1:11601201
 
记录时间：2014-10-23 21:33:44,930     Timer1:11601310
 
记录时间：2014-10-23 21:33:45,039     Timer1:11601419
 
记录时间：2014-10-23 21:33:45,149     Timer1:11601529
 
记录时间：2014-10-23 21:33:45,258     Timer1:11601638
 
记录时间：2014-10-23 21:33:45,367     Timer1:11601747
 
记录时间：2014-10-23 21:33:45,476     Timer1:11601856
 
记录时间：2014-10-23 21:33:45,585     Timer1:11601965
 
记录时间：2014-10-23 21:33:45,695     Timer1:11602075
 
记录时间：2014-10-23 21:33:45,804     Timer1:11602184
 
记录时间：2014-10-23 21:33:45,913     Timer1:11602293
 
记录时间：2014-10-23 21:33:46,022     Timer1:11602402
 
记录时间：2014-10-23 21:33:46,131     Timer1:11602511
 
记录时间：2014-10-23 21:33:46,241     Timer1:11602621
 
记录时间：2014-10-23 21:33:46,350     Timer1:11602730
 
记录时间：2014-10-23 21:33:46,459     Timer1:11602839
 
记录时间：2014-10-23 21:33:46,568     Timer1:11602948
 
记录时间：2014-10-23 21:33:46,677     Timer1:11603057
 
记录时间：2014-10-23 21:33:46,787     Timer1:11603167
 
记录时间：2014-10-23 21:33:46,896     Timer1:11603276
 
记录时间：2014-10-23 21:33:47,005     Timer1:11603385
 
记录时间：2014-10-23 21:33:47,114     Timer1:11603494
 
记录时间：2014-10-23 21:33:47,223     Timer1:11603603
 
记录时间：2014-10-23 21:33:47,333     Timer1:11603713
 
记录时间：2014-10-23 21:33:47,442     Timer1:11603822
 
记录时间：2014-10-23 21:33:47,551     Timer1:11603931
 
记录时间：2014-10-23 21:33:47,660     Timer1:11604040
 
记录时间：2014-10-23 21:33:47,769     Timer1:11604149
 
记录时间：2014-10-23 21:33:47,879     Timer1:11604259
 
记录时间：2014-10-23 21:33:47,988     Timer1:11604368
 
记录时间：2014-10-23 21:33:48,097     Timer1:11604477
 
记录时间：2014-10-23 21:33:48,206     Timer1:11604586
 
记录时间：2014-10-23 21:33:48,315     Timer1:11604695
 
记录时间：2014-10-23 21:33:48,425     Timer1:11604805
 
记录时间：2014-10-23 21:33:48,534     Timer1:11604914
 
记录时间：2014-10-23 21:33:48,643     Timer1:11605023
 
记录时间：2014-10-23 21:33:48,752     Timer1:11605132
 
记录时间：2014-10-23 21:33:48,861     Timer1:11605241
 
记录时间：2014-10-23 21:33:48,971     Timer1:11605351
 
记录时间：2014-10-23 21:33:49,080     Timer1:11605460
 
记录时间：2014-10-23 21:33:49,189     Timer1:11605569
 
记录时间：2014-10-23 21:33:49,298     Timer1:11605678
 
记录时间：2014-10-23 21:33:49,407     Timer1:11605787
 
记录时间：2014-10-23 21:33:49,517     Timer1:11605897
 
记录时间：2014-10-23 21:33:49,626     Timer1:11606006
 
记录时间：2014-10-23 21:33:49,735     Timer1:11606115
 
记录时间：2014-10-23 21:33:49,844     Timer1:11606224
 
记录时间：2014-10-23 21:33:49,953     Timer1:11606333
 
记录时间：2014-10-23 21:33:50,063     Timer1:11606443
 
记录时间：2014-10-23 21:33:50,172     Timer1:11606552
 
记录时间：2014-10-23 21:33:50,281     Timer1:11606661
 
记录时间：2014-10-23 21:33:50,390     Timer1:11606770
 
记录时间：2014-10-23 21:33:50,499     Timer1:11606879
 
记录时间：2014-10-23 21:33:50,609     Timer1:11606989
 
记录时间：2014-10-23 21:33:50,718     Timer1:11607098
 
记录时间：2014-10-23 21:33:50,827     Timer1:11607207
 
记录时间：2014-10-23 21:33:50,936     Timer1:11607316
 
记录时间：2014-10-23 21:33:51,045     Timer1:11607425
 
记录时间：2014-10-23 21:33:51,155     Timer1:11607535
 
记录时间：2014-10-23 21:33:51,264     Timer1:11607644
 
记录时间：2014-10-23 21:33:51,373     Timer1:11607753
 
记录时间：2014-10-23 21:33:51,482     Timer1:11607862
 
记录时间：2014-10-23 21:33:51,591     Timer1:11607971
 
记录时间：2014-10-23 21:33:51,701     Timer1:11608081
 
记录时间：2014-10-23 21:33:51,810     Timer1:11608190
 
记录时间：2014-10-23 21:33:51,919     Timer1:11608299
 
记录时间：2014-10-23 21:33:52,028     Timer1:11608408
 
记录时间：2014-10-23 21:33:52,137     Timer1:11608517
 
记录时间：2014-10-23 21:33:52,247     Timer1:11608627
 
记录时间：2014-10-23 21:33:52,356     Timer1:11608736
 
记录时间：2014-10-23 21:33:52,465     Timer1:11608845
 
记录时间：2014-10-23 21:33:52,574     Timer1:11608954
 
记录时间：2014-10-23 21:33:52,683     Timer1:11609064
 
记录时间：2014-10-23 21:33:52,793     Timer1:11609173
 
记录时间：2014-10-23 21:33:52,902     Timer1:11609282
 
记录时间：2014-10-23 21:33:53,011     Timer1:11609391
 
记录时间：2014-10-23 21:33:53,120     Timer1:11609500
 
记录时间：2014-10-23 21:33:53,229     Timer1:11609610
 
记录时间：2014-10-23 21:33:53,339     Timer1:11609719
 
记录时间：2014-10-23 21:33:53,448     Timer1:11609828
 
记录时间：2014-10-23 21:33:53,557     Timer1:11609937
 
记录时间：2014-10-23 21:33:53,666     Timer1:11610046
 
记录时间：2014-10-23 21:33:53,775     Timer1:11610156
 
记录时间：2014-10-23 21:33:53,885     Timer1:11610265
 
记录时间：2014-10-23 21:33:53,994     Timer1:11610374
 
记录时间：2014-10-23 21:33:54,103     Timer1:11610483
 
记录时间：2014-10-23 21:33:54,212     Timer1:11610592
 
记录时间：2014-10-23 21:33:54,321     Timer1:11610702
 
记录时间：2014-10-23 21:33:54,431     Timer1:11610811
 
记录时间：2014-10-23 21:33:54,540     Timer1:11610920
 
记录时间：2014-10-23 21:33:54,649     Timer1:11611029
 
记录时间：2014-10-23 21:33:54,758     Timer1:11611138
 
记录时间：2014-10-23 21:33:54,867     Timer1:11611248
 
记录时间：2014-10-23 21:33:54,977     Timer1:11611357
 
记录时间：2014-10-23 21:33:55,086     Timer1:11611466
 
记录时间：2014-10-23 21:33:55,195     Timer1:11611575
 
记录时间：2014-10-23 21:33:55,304     Timer1:11611684
 
记录时间：2014-10-23 21:33:55,413     Timer1:11611794
 
记录时间：2014-10-23 21:33:55,523     Timer1:11611903
 
记录时间：2014-10-23 21:33:55,632     Timer1:11612012
 
记录时间：2014-10-23 21:33:55,741     Timer1:11612121
 
记录时间：2014-10-23 21:33:55,850     Timer1:11612230
 
记录时间：2014-10-23 21:33:55,959     Timer1:11612340
 
记录时间：2014-10-23 21:33:56,069     Timer1:11612449
 
记录时间：2014-10-23 21:33:56,178     Timer1:11612558
 
记录时间：2014-10-23 21:33:56,287     Timer1:11612667
 
记录时间：2014-10-23 21:33:56,396     Timer1:11612776
 
记录时间：2014-10-23 21:33:56,505     Timer1:11612886
 
记录时间：2014-10-23 21:33:56,615     Timer1:11612995
 
记录时间：2014-10-23 21:33:56,724     Timer1:11613104
 
记录时间：2014-10-23 21:33:56,833     Timer1:11613213
 
记录时间：2014-10-23 21:33:56,942     Timer1:11613322
 
记录时间：2014-10-23 21:33:57,051     Timer1:11613432
 
记录时间：2014-10-23 21:33:57,161     Timer1:11613541
 
记录时间：2014-10-23 21:33:57,270     Timer1:11613650
 
记录时间：2014-10-23 21:33:57,379     Timer1:11613759
 
记录时间：2014-10-23 21:33:57,488     Timer1:11613868
 
记录时间：2014-10-23 21:33:57,597     Timer1:11613978
 
记录时间：2014-10-23 21:33:57,707     Timer1:11614087
 
记录时间：2014-10-23 21:33:57,816     Timer1:11614196
 
记录时间：2014-10-23 21:33:57,925     Timer1:11614305
 
记录时间：2014-10-23 21:33:58,034     Timer1:11614414
 
记录时间：2014-10-23 21:33:58,143     Timer1:11614524
 
记录时间：2014-10-23 21:33:58,253     Timer1:11614633
 
记录时间：2014-10-23 21:33:58,362     Timer1:11614742
 
记录时间：2014-10-23 21:33:58,471     Timer1:11614851
 
记录时间：2014-10-23 21:33:58,580     Timer1:11614960
 
记录时间：2014-10-23 21:33:58,689     Timer1:11615070
 
记录时间：2014-10-23 21:33:58,799     Timer1:11615179
 
记录时间：2014-10-23 21:33:58,908     Timer1:11615288
 
记录时间：2014-10-23 21:33:59,017     Timer1:11615397
 
记录时间：2014-10-23 21:33:59,126     Timer1:11615506
 
记录时间：2014-10-23 21:33:59,235     Timer1:11615616
 
记录时间：2014-10-23 21:33:59,345     Timer1:11615725
 
记录时间：2014-10-23 21:33:59,454     Timer1:11615834
 
记录时间：2014-10-23 21:33:59,563     Timer1:11615943
 
记录时间：2014-10-23 21:33:59,688     Timer1:11616068
 
记录时间：2014-10-23 21:33:59,781     Timer1:11616162
 
记录时间：2014-10-23 21:33:59,891     Timer1:11616271
 
记录时间：2014-10-23 21:34:00,000     Timer1:11616380
 
记录时间：2014-10-23 21:34:00,109     Timer1:11616489
 
记录时间：2014-10-23 21:34:00,218     Timer1:11616598
 
记录时间：2014-10-23 21:34:00,327     Timer1:11616708
 
记录时间：2014-10-23 21:34:00,437     Timer1:11616817
 
记录时间：2014-10-23 21:34:00,546     Timer1:11616926
 
记录时间：2014-10-23 21:34:00,655     Timer1:11617035
 
记录时间：2014-10-23 21:34:00,780     Timer1:11617160
 
记录时间：2014-10-23 21:34:00,873     Timer1:11617254
 
记录时间：2014-10-23 21:34:00,983     Timer1:11617363
 
记录时间：2014-10-23 21:34:01,092     Timer1:11617472
 
记录时间：2014-10-23 21:34:01,201     Timer1:11617581
 
记录时间：2014-10-23 21:34:01,310     Timer1:11617690
 
记录时间：2014-10-23 21:34:01,419     Timer1:11617800
 
记录时间：2014-10-23 21:34:01,529     Timer1:11617909
 
记录时间：2014-10-23 21:34:01,638     Timer1:11618018
 
记录时间：2014-10-23 21:34:01,747     Timer1:11618127
 
记录时间：2014-10-23 21:34:01,856     Timer1:11618236
 
记录时间：2014-10-23 21:34:01,965     Timer1:11618346
 
记录时间：2014-10-23 21:34:02,075     Timer1:11618455
 
记录时间：2014-10-23 21:34:02,184     Timer1:11618564
 
记录时间：2014-10-23 21:34:02,293     Timer1:11618673
 
记录时间：2014-10-23 21:34:02,402     Timer1:11618782
 
记录时间：2014-10-23 21:34:02,511     Timer1:11618892
 
记录时间：2014-10-23 21:34:02,621     Timer1:11619001
 
记录时间：2014-10-23 21:34:02,730     Timer1:11619110
 
记录时间：2014-10-23 21:34:02,839     Timer1:11619219
 
记录时间：2014-10-23 21:34:02,948     Timer1:11619328
 
记录时间：2014-10-23 21:34:03,057     Timer1:11619438
 
记录时间：2014-10-23 21:34:03,167     Timer1:11619547
 
记录时间：2014-10-23 21:34:03,276     Timer1:11619656
 
记录时间：2014-10-23 21:34:03,385     Timer1:11619765
 
